quest_id,difficulty,filename,status,attempts
G001,easy,gemini_easy_001.json,SUCCESS,1
G002,easy,gemini_easy_002.json,SUCCESS,1
G003,easy,gemini_easy_003.json,SUCCESS,1
G004,easy,gemini_easy_004.json,SUCCESS,3
G005,easy,gemini_easy_005.json,SUCCESS,1
G006,easy,gemini_easy_006.json,SUCCESS,1
G007,easy,gemini_easy_007.json,SUCCESS,1
G008,easy,gemini_easy_008.json,SUCCESS,1
G009,easy,gemini_easy_009.json,SUCCESS,1
G010,easy,gemini_easy_010.json,SUCCESS,1
G011,easy,gemini_easy_011.json,SUCCESS,1
G012,easy,gemini_easy_012.json,SUCCESS,2
G013,easy,gemini_easy_013.json,FAILED_API,5
G014,easy,gemini_easy_014.json,FAILED_API,5
G015,easy,gemini_easy_015.json,FAILED_API,5
G016,easy,gemini_easy_016.json,FAILED_API,5
G013,easy,gemini_easy_013.json,FAILED_API,5
G014,easy,gemini_easy_014.json,FAILED_API,5
G015,easy,gemini_easy_015.json,FAILED_API,5
G016,easy,gemini_easy_016.json,FAILED_API,5
G017,easy,gemini_easy_017.json,FAILED_API,5
G018,easy,gemini_easy_018.json,FAILED_API,5
G019,easy,gemini_easy_019.json,FAILED_API,5
G020,easy,gemini_easy_020.json,FAILED_API,5
G021,medium,gemini_medium_001.json,FAILED_API,5
G022,medium,gemini_medium_002.json,FAILED_API,5
G023,medium,gemini_medium_003.json,FAILED_API,5
G024,medium,gemini_medium_004.json,FAILED_API,5
G025,medium,gemini_medium_005.json,FAILED_API,5
G026,medium,gemini_medium_006.json,FAILED_API,5
G027,medium,gemini_medium_007.json,FAILED_API,5
G028,medium,gemini_medium_008.json,FAILED_API,5
G029,medium,gemini_medium_009.json,FAILED_API,5
G030,medium,gemini_medium_010.json,FAILED_API,5
G031,medium,gemini_medium_011.json,FAILED_API,5
G032,medium,gemini_medium_012.json,FAILED_API,5
G033,medium,gemini_medium_013.json,FAILED_API,5
G034,medium,gemini_medium_014.json,FAILED_API,5
G035,medium,gemini_medium_015.json,FAILED_API,5
G036,medium,gemini_medium_016.json,FAILED_API,5
G037,medium,gemini_medium_017.json,FAILED_API,5
G038,medium,gemini_medium_018.json,FAILED_API,5
G039,medium,gemini_medium_019.json,FAILED_API,5
G040,medium,gemini_medium_020.json,FAILED_API,5
G041,hard,gemini_hard_001.json,FAILED_API,5
G042,hard,gemini_hard_002.json,FAILED_API,5
G043,hard,gemini_hard_003.json,FAILED_API,5
G044,hard,gemini_hard_004.json,FAILED_API,5
G045,hard,gemini_hard_005.json,FAILED_API,5
G046,hard,gemini_hard_006.json,FAILED_API,5
G047,hard,gemini_hard_007.json,FAILED_API,5
G048,hard,gemini_hard_008.json,FAILED_API,5
G049,hard,gemini_hard_009.json,FAILED_API,5
G050,hard,gemini_hard_010.json,FAILED_API,5
G051,hard,gemini_hard_011.json,FAILED_API,5
G052,hard,gemini_hard_012.json,FAILED_API,5
G053,hard,gemini_hard_013.json,FAILED_API,5
G054,hard,gemini_hard_014.json,FAILED_API,5
G055,hard,gemini_hard_015.json,FAILED_API,5
G056,hard,gemini_hard_016.json,FAILED_API,5
G057,hard,gemini_hard_017.json,FAILED_API,5
G058,hard,gemini_hard_018.json,FAILED_API,5
G059,hard,gemini_hard_019.json,FAILED_API,5
G060,hard,gemini_hard_020.json,FAILED_API,5
